ctr,country,uai
AUS,Australia,51
AUT,Austria,70
BEL,Belgium,94
CAN,Canada,48
CHE,Switzerland,58
CHL,Chile,86
COL,Colombia,80
CZE,Czech Rep,74
DEN,Denmark,23
DEU,Germany,65
ESP,Spain,86
EST,Estonia,60
FIN,Finland,59
FRA,France,86
GBR,United Kingdom,35
GRC,Greece,112
HUN,Hungary,82
IRL,Ireland,35
ISL,Iceland,50
ISR,Israel,81
ITA,Italy,75
JPN,Japan,92
KOR,Korea South,85
LTU,Lithuania,65
LUX,Luxembourg,70
LVA,Latvia,63
MEX,Mexico,82
NLD,Netherlands,53
NOR,Norway,50
POL,Poland,93
PRT,Portugal,104
SVK,Slovak Rep,51
SVN,Slovenia,88
SWE,Sweden,29
TUR,Turkey,85
USA,United States,46